,Funding type
1445,Non-equity Assistance
1446,Series A
1447,Venture - Series Unknown
1448,Seed
1449,Debt Financing
1450,Private Equity
1451,Seed
1452,Post-IPO Debt
1453,Seed
1454,Seed
1455,Venture - Series Unknown
1456,Series A
1457,Seed
1458,Venture - Series Unknown
1459,Venture - Series Unknown
1460,Post-IPO Equity
1461,Series A
1462,Seed
1463,Series A
1464,Seed
1465,Convertible Note
1466,Post-IPO Equity
1467,Venture - Series Unknown
1468,Seed
1469,Post-IPO Equity
1470,Seed
1471,Venture - Series Unknown
1472,Seed
1473,Seed
1474,Grant
1475,Seed
1476,Non-equity Assistance
1477,Seed
1478,Private Equity
1479,Non-equity Assistance
1480,Grant
1481,Convertible Note
1482,Convertible Note
1483,Seed
1484,Seed
1485,Post-IPO Equity
1486,Seed
1487,Seed
1488,Seed
1489,Seed
1490,Seed
1491,Seed
1492,Seed
1493,Grant
1494,Venture - Series Unknown
1495,Angel
1496,Grant
1497,Seed
1498,Seed
1499,Series E
1500,Seed
1501,Pre-Seed
1502,Non-equity Assistance
1503,Angel
1504,Seed
1505,Seed
1506,Seed
1507,Seed
1508,Seed
1509,Venture - Series Unknown
1510,Seed
1511,Seed
1512,Grant
1513,Seed
1514,Seed
1515,Grant
1516,Series A
1517,Debt Financing
1518,Non-equity Assistance
1519,Seed
1520,Grant
1521,Seed
1522,Seed
1523,Angel
1524,Seed
1525,Post-IPO Equity
1526,Seed
1527,Series A
1528,Angel
1529,Equity Crowdfunding
1530,Post-IPO Equity
1531,Convertible Note
1532,Venture - Series Unknown
1533,Grant
1534,Series A
1535,Post-IPO Equity
1536,Venture - Series Unknown
1537,Venture - Series Unknown
1538,Seed
1539,Venture - Series Unknown
1540,Debt Financing
1541,Seed
1542,Post-IPO Equity
1543,Venture - Series Unknown
1544,Venture - Series Unknown
1545,Post-IPO Equity
1546,Seed
1547,Seed
1548,Angel
1549,Seed
1550,Seed
1551,Seed
1552,Seed
1553,Seed
1554,Grant
1555,Venture - Series Unknown
1556,Seed
1557,Debt Financing
1558,Seed
1559,Seed
1560,Angel
1561,Grant
1562,Venture - Series Unknown
1563,Seed
1564,Series C
1565,Seed
1566,Venture - Series Unknown
1567,Seed
1568,Seed
1569,Equity Crowdfunding
1570,Series C
1571,Angel
1572,Convertible Note
1573,Seed
1574,Seed
1575,Equity Crowdfunding
1576,Seed
1577,Series B
1578,Angel
1579,Convertible Note
1580,Venture - Series Unknown
1581,Convertible Note
1582,Post-IPO Equity
1583,Seed
1584,Convertible Note
1585,Venture - Series Unknown
1586,Venture - Series Unknown
1587,Series A
1588,Venture - Series Unknown
1589,Seed
1590,Seed
1591,Venture - Series Unknown
1592,Seed
1593,Venture - Series Unknown
1594,Venture - Series Unknown
1595,Series A
1596,Angel
1597,Venture - Series Unknown
1598,Post-IPO Equity
1599,Seed
1600,Angel
1601,Post-IPO Equity
1602,Private Equity
1603,Convertible Note
1604,Series A
1605,Venture - Series Unknown
1606,Seed
1607,Series A
1608,Angel
1609,Venture - Series Unknown
1610,Private Equity
1611,Venture - Series Unknown
1612,Debt Financing
1613,Seed
1614,Series C
1615,Grant
1616,Venture - Series Unknown
1617,Venture - Series Unknown
