,index,foundation,voterank,eigenvector,degree,pagerank,closeness,newman,subgraph,average
12604,23634.0,2006.0,2915.0,0.0045650831958563,0.0107620204825551,0.0001242354268683,0.343834127841685,2.962858605395312e-05,7.009747733523678e+99,188.4193548387097
12606,509882.0,2006.0,,1.3042900667153734e-35,0.000173580975525,0.0001735508503991,0.000173580975525,0.0,1.5430806348152435,1.0
12607,50262.0,2007.0,1395.0,0.0012962806520759,0.0065960770699531,0.0001321820198957,0.328188908544404,0.0001529501633758,5.643978510621543e+98,123.94736842105264
12608,94834.0,2001.0,,,,,,,,
12609,57834.0,2006.0,,,,,,,,
12613,46628.0,2007.0,3853.0,6.746000934208251e-05,0.0005008138224615,2.804322730194757e-05,0.271965220988472,4.608143644752838e-07,3.3012071765969686e+116,89.75
12614,51315.0,2004.0,4600.0,0.0057594547709742,0.0107674971829222,0.0001004115169364,0.3451239339222131,1.2128625396089607e-05,2.4086666222014263e+120,245.95348837209303
12616,18003.0,2007.0,2196.0,0.0002322021084902,0.0052074292657524,0.0001538088880189,0.2916809762321106,0.0,1.8117062285636827e+97,49.7
12627,18675.0,2005.0,3791.0,5.550455021994437e-05,0.0006943239021003,4.409803316050082e-05,0.2765031891465088,0.0,1.0361677917930394e+96,62.75
12628,27660.0,2007.0,2575.0,0.0002991371667876,0.0038384768923691,8.71220630633017e-05,0.2979239342044928,0.0,6.779654880808364e+104,74.6
12631,14788.0,2004.0,5627.0,5.550455021994437e-05,0.0006943239021003,4.409803316050082e-05,0.2765031891465088,0.0,1.0361677917930394e+96,62.75
12632,14916.0,2000.0,3250.0,0.006583922767672,0.0112827634091303,0.0001368826037173,0.3529500234888768,0.0001764092484052,1.4584404073374729e+100,229.73846153846156
12633,45632.0,2007.0,4143.0,0.0013979970026245,0.0031244575594514,5.821423157240074e-05,0.32763039881655,0.0,6.574903659970267e+98,197.83333333333331
12634,7083.0,2007.0,,8.401458027323767e-07,0.000173580975525,5.964805156523215e-05,0.2160725733022209,0.0,2.3740893165219785e+92,2.0
12637,18562.0,2004.0,4373.0,0.0104030124134897,0.0156222877972574,0.0001732280296866,0.3627726651050333,0.0001705143065268,3.641081559216459e+100,257.6555555555556
